Area,Production,Rainfall,Season,Temperature,Crop,pH,Nitrogen(kg/ha),ElectricalConductivity(ds/m)
195.0,8374.0,73.05745486111111,Whole Year,28.334061342592587,Sugarcane,6.7,392.0,5.5
211097.0,12790789.0,139.8096666666667,Kharif,27.70866666666667,Sugarcane,7.3,237.0,3.9
1600.0,740.0,14.6545,Rabi,21.5345,Gram,7.4,423.0,5.0
1862.0,1177.0,173.8876666666667,Kharif,29.02333333333333,Arhar/Tur,7.5,462.0,3.0
11064.0,34597.0,28.6315,Rabi,21.90025,Maize,7.3,288.0,4.3
57707.0,60129.0,25.88075,Rabi,20.579,Wheat,5.6,488.0,4.9
276000.0,623000.0,17.09475,Winter,22.86575,Rice,6.7,385.0,2.8
257.0,31540.0,83.75518055555554,Whole Year,30.519375,Sugarcane,5.6,454.0,5.0
539.0,143.0,66.05725000000001,Autumn,23.436,Moong(Green Gram),7.0,391.0,3.2
134.0,879.0,17.873,Rabi,22.99625,Potato,5.6,321.0,4.2
102500.0,8461300.0,180.50080936977002,Whole Year,27.62290542359194,Sugarcane,5.6,470.0,1.2
231.0,180.0,212.298,Kharif,26.62366666666667,Groundnut,6.4,328.0,4.7
242.0,228.0,151.53,Kharif,26.42833333333333,Jowar,6.6,350.0,1.9
51.0,59.9,3.5445,Winter,21.82925,Groundnut,5.0,217.0,3.5
250.0,4796.0,6.331,Rabi,20.234,Onion,5.4,372.0,1.7
72.0,45.0,219.65375,Summer,30.35525,Urad,6.7,302.0,5.6
42750.0,30587.0,14.66875,Rabi,17.9945,Wheat,7.1,451.0,4.0
1.0,77012.30591908224,197.114,Kharif,28.22766666666666,Sesamum,7.4,456.0,4.9
1418.0,1904.0,102.83525,Rabi,19.6715,Wheat,5.9,414.0,1.9
568.0,400.0,105.1483333333333,Kharif,27.93433333333333,Arhar/Tur,5.1,382.0,1.1
121400.0,93600.0,94.476,Kharif,27.12733333333333,Moong(Green Gram),5.2,229.0,1.1
26200.0,35800.0,71.837,Kharif,29.35433333333333,Arhar/Tur,6.0,490.0,2.6
314.0,82.0,34.24025,Rabi,22.277,Moong(Green Gram),5.4,332.0,5.4
48074.0,50893.0,2.86225,Rabi,20.70575,Gram,6.2,203.0,2.2
8.0,6.9,170.8065,Summer,25.1965,Wheat,6.3,443.0,2.5
4.0,13.0,52.25511905351619,Whole Year,27.897796834041014,Potato,5.5,485.0,3.0
1.0,0.8,195.95625,Summer,27.366,Wheat,6.8,449.0,4.2
11550.0,20686.0,265.377,Kharif,26.73433333333334,Maize,5.1,436.0,3.6
64.0,700.0,89.04186898497892,Whole Year,27.372410639812962,Onion,6.1,421.0,5.6
255.0,138.0,288.23060678456415,Whole Year,25.76120509609786,Dry chillies,7.5,264.0,4.9
15467.0,13057.0,64.17699999999999,Kharif,27.853,Maize,6.8,361.0,2.7
3.0,77012.30591908224,64.70500000000001,Kharif,29.205,Arhar/Tur,5.6,441.0,4.4
161075.0,132038.0,13.809,Rabi,20.32425,Wheat,6.0,220.0,1.8
870.0,2262.0,170.1925,Summer,29.22300000000001,Rice,6.0,282.0,3.8
2757.0,3313.9,181.1195,Summer,28.6345,Groundnut,5.4,277.0,4.4
44.0,32.6,15.57825,Winter,21.82175,Groundnut,6.7,422.0,2.2
11.0,4.0,100.6366666666667,Kharif,27.554,Dry chillies,6.3,314.0,1.5
100.0,200.0,126.057,Kharif,27.34933333333333,Maize,5.6,253.0,3.0
2762.0,3059.0,18.2945,Rabi,20.9185,Rapeseed &Mustard,5.3,300.0,5.0
5780.0,8670.0,233.56266666666667,Kharif,21.353,Maize,7.1,295.0,5.2
3.0,14.0,144.1645,Summer,29.33725,Maize,5.4,300.0,1.3
839.0,8246.0,92.72741433370834,Whole Year,27.80481498596694,Onion,7.2,310.0,3.4
2972.0,7353.0,56.206,Rabi,24.23825,Maize,7.0,492.0,4.5
42.0,79.0,59.75633333333334,Kharif,27.485,Jowar,5.4,312.0,3.4
278.0,73.0,168.46629838404968,Whole Year,27.69730268514553,Sesamum,5.3,388.0,4.6
945.0,1358.0,12.51675,Rabi,22.44325,Wheat,5.8,322.0,1.9
425.0,1507.0,246.06748324215167,Whole Year,26.145839425685693,Onion,7.2,230.0,5.6
9.0,140.0,149.931,Kharif,26.94333333333333,Onion,6.6,380.0,4.8
1859.0,889.0,49.20025,Rabi,25.847,Arhar/Tur,7.0,416.0,2.2
270.0,181.0,82.00666666666667,Whole Year,26.10875,Dry chillies,5.1,401.0,1.4
68000.0,272000.0,37.884,Kharif,28.783,Rice,5.5,266.0,4.2
21100.0,1007500.0,51.98728464418571,Whole Year,29.395912954018932,Sugarcane,6.2,408.0,2.2
4.0,6.0,226.0625,Summer,30.50325,Maize,6.2,204.0,3.8
1000.0,1000.0,5.0335,Rabi,19.69225,Rapeseed &Mustard,5.6,334.0,2.8
497.0,10792.0,139.5781203703704,Whole Year,28.32319907407407,Sugarcane,5.5,215.0,3.9
1000.0,50000.0,27.10442150912396,Whole Year,27.61049798639801,Sugarcane,7.3,287.0,3.3
86.0,74.0,89.04186898497892,Whole Year,27.372410639812962,Dry chillies,5.6,313.0,1.6
4700.0,1400.0,113.8976666666667,Kharif,28.34333333333333,Sesamum,5.1,378.0,4.7
257.0,676.0,424.34625000000017,Summer,20.44425,Maize,5.1,247.0,3.9
247000.0,109000.0,300.8136666666666,Kharif,25.72733333333333,Rice,6.5,318.0,1.2
384.0,334.0,246.0185,Summer,26.35725,Maize,5.5,392.0,2.6
20.0,1.6,14.39425,Winter,23.3845,Sesamum,5.8,427.0,1.8
4331.0,1435.0,152.335,Kharif,26.061,Urad,7.1,288.0,4.1
1935.0,1279.0,76.88325,Rabi,25.93225,Moong(Green Gram),6.5,376.0,3.9
953.0,208.3,166.81966666666668,Kharif,26.802,Sesamum,6.2,441.0,2.1
15305.0,12924.0,32.22425,Rabi,21.98325,Rapeseed &Mustard,6.9,240.0,3.2
3290.0,67442.0,29.407,Rabi,20.28575,Potato,6.1,491.0,3.2
200.0,100.0,129.9253333333333,Kharif,27.57766666666667,Moong(Green Gram),6.7,475.0,3.3
43.0,39.0,86.5278358333256,Whole Year,27.11018829958869,Dry chillies,6.7,390.0,2.1
1662.0,1089.0,5.9945,Rabi,20.2785,Rapeseed &Mustard,6.6,236.0,5.4
30000.0,27500.0,22.90575,Rabi,23.56275,Wheat,7.5,442.0,1.2
11500.0,8400.0,2.90375,Rabi,23.65625,Gram,6.8,426.0,3.4
1420.0,852.0,228.19,Whole Year,23.13758333333334,Sesamum,6.3,452.0,1.9
7222.0,5141.0,179.8276666666667,Kharif,28.505,Moong(Green Gram),5.1,492.0,4.8
1306.0,1447.0,16.15275,Rabi,22.1165,Wheat,6.7,291.0,2.1
92200.0,19000.0,42.81833333333334,Kharif,27.46566666666666,Jowar,7.4,476.0,4.5
6.0,6.0,119.304,Kharif,26.93433333333333,Maize,6.0,452.0,3.3
27175.0,15028.0,109.767,Rabi,23.2565,Moong(Green Gram),7.1,240.0,1.4
16622.0,13809.0,158.79366666666667,Kharif,27.059,Arhar/Tur,6.7,392.0,2.9
141.0,238.2,288.13375,Summer,28.0655,Wheat,6.3,402.0,4.9
3137.0,16050.0,58.75141410402735,Whole Year,27.47177226368258,Onion,5.9,332.0,2.1
6874.0,4564.0,162.71200000000005,Kharif,28.6,Urad,7.4,463.0,4.0
13707.0,32335.0,222.901,Kharif,27.857,Rice,6.4,371.0,4.1
1392.0,1581.0,14.34125,Rabi,23.80225,Jowar,5.3,419.0,3.2
277.0,5651.0,5.8855,Rabi,19.65625,Potato,6.6,343.0,1.2
75.0,100.0,44.261,Rabi,23.6035,Wheat,7.2,410.0,3.8
11101.0,27750.0,278.316,Summer,28.58675,Maize,5.6,422.0,4.2
23959.0,20725.0,215.67075,Summer,29.399,Moong(Green Gram),6.1,434.0,1.3
11284.0,7278.0,160.43766666666667,Kharif,24.72733333333333,Urad,5.8,339.0,2.2
163.0,113.0,8.877250000000002,Rabi,21.48425,Rapeseed &Mustard,5.3,297.0,3.9
13.0,10.0,117.5913333333333,Kharif,26.44733333333333,Groundnut,7.0,341.0,3.5
6860.0,7806.0,80.80725,Autumn,20.806,Rice,5.4,368.0,1.5
460.0,89.0,251.234,Kharif,26.44833333333333,Moong(Green Gram),6.2,385.0,4.0
100.0,100.0,96.93533333333332,Kharif,28.08333333333333,Maize,6.6,422.0,3.6
178.0,2100.0,31.96885206199054,Whole Year,27.5417590728586,Onion,5.4,258.0,3.4
473.0,848.0,186.37675,Summer,30.8155,Rice,7.2,488.0,4.2
21.0,5.0,241.74781570055146,Whole Year,28.62171789292884,Gram,7.1,472.0,1.3
1162.0,1330.0,106.121,Autumn,23.64125,Rice,5.9,446.0,2.7
12914.0,36461.0,111.702,Kharif,28.577,Rice,6.2,358.0,1.7
769.0,6561.0,65.85457579508686,Whole Year,27.876413637040034,Onion,6.2,440.0,2.6
5.0,4.5,255.204,Summer,26.97675,Maize,6.8,322.0,4.5
500.0,800.0,13.025,Rabi,24.05,Maize,5.4,299.0,4.6
316.0,260.0,109.4058988370342,Whole Year,28.86799515943704,Dry chillies,5.7,488.0,1.9
21720.0,40580.0,283.31033333333335,Kharif,23.246,Rice,5.6,409.0,2.3
490000.0,6000.0,216.42575,Summer,27.96725,Rice,5.8,388.0,2.9
5345.0,3700.0,173.4043333333334,Kharif,21.74966666666667,Rice,5.6,469.0,4.4
85900.0,230200.0,10.28975,Rabi,23.34525,Wheat,6.0,378.0,2.2
11602.0,19229.0,151.46233333333333,Kharif,27.20533333333333,Maize,5.3,392.0,1.7
112663.0,172850.0,45.88325,Winter,17.109,Rice,5.4,418.0,3.8
25017.0,49310.0,120.8816666666667,Whole Year,25.09341666666667,Maize,5.9,497.0,1.4
1.0,1.5,214.64825,Summer,27.1945,Maize,5.1,312.0,1.2
2.0,2.0,1.5575,Rabi,21.73525,Gram,7.5,330.0,5.0
512.0,1011.0,215.1786666666667,Kharif,28.204,Dry chillies,7.2,313.0,3.1
1.0,1.0,161.1243333333333,Kharif,29.409,Urad,6.5,246.0,4.6
282.0,2228.0,86.28866666666669,Whole Year,25.93308333333333,Onion,5.7,290.0,2.9
8.0,13.3,270.48675,Summer,26.57925,Wheat,7.3,322.0,2.8
650.0,869.0,78.35181851681958,Whole Year,29.57601298402232,Dry chillies,7.2,471.0,1.2
1593.0,1728.0,53.89250000000001,Rabi,23.3905,Jowar,5.7,229.0,4.0
167000.0,785000.0,11.013,Rabi,18.24325,Wheat,5.8,436.0,2.4
36336.0,13117.3,317.7305,Summer,28.9805,Moong(Green Gram),6.4,357.0,2.4
131.0,1015.0,208.76040048848046,Whole Year,26.55899354993682,Potato,5.2,282.0,1.4
4641.0,2414.0,17.1325,Rabi,20.83325,Rapeseed &Mustard,6.9,458.0,2.9
6900.0,5300.0,120.55,Kharif,29.04566666666667,Groundnut,5.9,226.0,1.5
9240.0,2134.4,4.13575,Winter,22.54475,Urad,5.4,378.0,5.7
159.0,542.0,59.32100000000001,Summer,26.68775,Maize,7.2,434.0,2.4
1270.0,27066.0,81.62456096985116,Whole Year,27.76365430022398,Sugarcane,6.9,221.0,4.6
23664.0,35165.0,34.92475,Rabi,23.9425,Gram,7.3,466.0,3.9
446.0,195.0,202.2399478100118,Whole Year,28.49691534600285,Dry chillies,6.4,350.0,4.2
6069.0,16016.0,11.664,Rabi,23.59525,Rice,5.4,395.0,3.9
256.0,179.0,19.73225,Rabi,21.59825,Gram,5.9,475.0,2.6
244.0,388.0,69.08275,Rabi,22.61199999999999,Dry chillies,5.2,217.0,3.7
922.0,538.0,27.362,Rabi,11.88975,Rapeseed &Mustard,5.1,358.0,2.9
3581.0,5436.0,223.4585,Summer,25.16775,Groundnut,5.0,246.0,4.8
7592.0,11414.0,141.96,Kharif,28.523000000000003,Maize,5.9,308.0,1.3
26.0,10.0,186.653,Kharif,23.023000000000003,Moong(Green Gram),6.2,262.0,1.6
2471.0,9918.0,76.12375,Summer,26.6455,Onion,6.4,269.0,4.8
229.0,164.0,15.64625,Rabi,24.35025,Gram,6.0,303.0,5.4
226.0,28.0,201.469,Kharif,27.63733333333333,Sesamum,6.1,310.0,4.1
2117.0,6908.0,25.698,Rabi,24.9565,Dry chillies,7.0,279.0,4.6
2208.0,689.0,64.93166666666667,Kharif,27.97533333333334,Groundnut,6.0,338.0,1.6
1401.0,946.0,173.7223333333334,Kharif,28.891,Urad,6.5,203.0,2.4
3898.0,3884.0,131.43200000000002,Kharif,27.25800000000001,Jowar,5.3,452.0,5.2
47.0,49.0,61.44225000000001,Autumn,24.6905,Groundnut,7.4,440.0,2.1
20100.0,15000.0,164.4483333333334,Kharif,29.93766666666667,Moong(Green Gram),5.6,372.0,2.6
1436.0,2969.0,255.1391761285113,Whole Year,27.121602240891672,Dry chillies,6.3,402.0,5.0
235.0,455.0,66.88674999999999,Rabi,22.283,Wheat,5.8,263.0,4.4
3319.0,4446.0,206.0126666666667,Kharif,19.965333333333326,Maize,5.3,294.0,2.0
597.0,13696.0,94.95788888888887,Whole Year,27.197506944444452,Sugarcane,7.0,263.0,4.3
365.0,136.0,60.10875000000001,Rabi,22.441,Rapeseed &Mustard,6.9,372.0,5.6
320.0,300.0,165.51566666666668,Kharif,24.24633333333334,Arhar/Tur,6.7,407.0,2.5
300.0,200.0,77.65533333333333,Kharif,21.51566666666666,Sesamum,6.3,492.0,4.4
51700.0,75300.0,25.669,Kharif,23.54833333333334,Groundnut,5.8,254.0,2.9
24024.0,43147.0,39.473,Rabi,24.005,Jowar,5.3,448.0,4.8
3704.0,670.0,182.039,Kharif,28.38633333333334,Sesamum,7.2,363.0,5.0
3011.0,130544.0,85.11041666666667,Whole Year,25.89725,Sugarcane,5.2,344.0,4.4
8700.0,5600.0,156.84333333333333,Kharif,29.485,Urad,5.7,487.0,5.7
19597.0,8422.0,91.60065061457192,Whole Year,28.62287754983892,Sesamum,6.8,360.0,1.6
12392.0,8622.0,4.66775,Rabi,20.27675,Rapeseed &Mustard,5.5,413.0,1.7
6577.0,6939.0,100.4133333333333,Kharif,27.337,Jowar,5.3,387.0,1.8
19200.0,13400.0,0.64575,Rabi,24.51225,Jowar,5.1,208.0,4.6
62.0,54.0,180.23466666666667,Kharif,28.25800000000001,Groundnut,5.5,364.0,5.2
19.0,272.0,7.8312500000000025,Rabi,18.317,Onion,5.9,272.0,4.6
100.0,6000.0,85.86401672304173,Whole Year,29.870969553782658,Sugarcane,6.5,408.0,5.0
2435.0,54931.0,29.8275,Rabi,20.8355,Potato,5.6,372.0,4.9
50.0,20.0,204.871,Whole Year,23.78566666666667,Sesamum,6.9,460.0,5.2
2382.0,2193.0,35.492,Rabi,24.4865,Wheat,7.0,361.0,1.3
4955.0,3088.0,336.1869999999999,Kharif,24.011,Sesamum,5.5,227.0,4.6
10675.0,15218.0,193.155,Autumn,24.643,Rice,5.4,324.0,5.0
7400.0,900.0,39.31833333333334,Kharif,22.79633333333333,Sesamum,6.6,247.0,3.8
10.0,8.0,158.296,Kharif,27.12533333333333,Rice,7.3,252.0,4.5
99.0,93.0,40.24299999999999,Rabi,24.03175,Gram,5.0,372.0,1.6
218.0,114.0,200.0656666666666,Kharif,26.354,Sesamum,6.2,473.0,3.0
202.0,197.0,114.5173333333333,Kharif,27.627,Arhar/Tur,7.1,460.0,5.0
2100.0,6400.0,380.7315,Summer,24.9895,Groundnut,6.0,478.0,2.9
75.0,173.0,211.3737205827672,Whole Year,18.904443259542607,Dry chillies,7.3,395.0,2.0
5659.0,9119.0,56.28066666666666,Kharif,29.96833333333333,Rice,6.4,201.0,2.9
1500.0,71000.0,98.26523685131936,Whole Year,29.869500609737592,Sugarcane,5.2,258.0,3.5
1753.0,2093.0,120.8206666666667,Kharif,25.60366666666667,Jowar,5.7,244.0,5.5
69.0,17.0,122.1986666666667,Kharif,27.81,Sesamum,6.4,262.0,5.2
13.0,2.7,140.83700000000005,Autumn,25.409,Urad,6.1,368.0,2.9
10949.0,18709.0,358.6695,Summer,28.40275,Rice,5.8,388.0,4.6
65961.0,44128.0,154.81833333333333,Kharif,26.42866666666667,Jowar,5.1,245.0,4.7
1422.0,592.0,116.7443010549534,Whole Year,27.5006997051758,Sesamum,5.3,364.0,2.2
26.0,290.0,367.39475,Summer,28.51825,Onion,5.4,342.0,4.4
1100.0,1500.0,163.47899999999996,Kharif,21.394666666666673,Maize,6.6,368.0,4.0
265.0,201.0,62.80649999999999,Rabi,23.5365,Rapeseed &Mustard,5.6,436.0,1.1
699.0,5431.0,162.40894806737083,Whole Year,26.96494021870178,Onion,5.5,464.0,3.3
553.0,558.0,96.27102605264984,Whole Year,31.07373119082111,Arhar/Tur,6.9,333.0,4.1
102.0,60.0,365.162,Kharif,27.23633333333333,Moong(Green Gram),6.6,218.0,3.6
32000.0,48000.0,16.99475,Winter,23.61825,Rice,6.1,249.0,3.7
51.0,598.0,29.6135,Rabi,20.55725,Onion,5.4,204.0,3.8
62049.0,170573.0,68.04025,Rabi,23.64225,Rice,6.2,347.0,5.2
23400.0,9000.0,211.09933333333333,Kharif,27.12533333333333,Arhar/Tur,6.9,344.0,4.7
16106.0,76330.0,177.35833333333332,Kharif,24.85766666666667,Rice,5.7,317.0,4.2
320.0,129.0,15.553333333333333,Kharif,29.627,Sesamum,6.8,474.0,5.0
2.0,77012.30591908224,116.2,Kharif,27.67066666666667,Sesamum,5.1,385.0,5.7
367.0,225.0,144.28766666666667,Kharif,28.57633333333333,Groundnut,6.4,344.0,1.3
4534.0,1301.0,172.324,Kharif,28.612,Sesamum,6.9,261.0,3.7
1315.0,1427.0,75.40599999999998,Kharif,27.33766666666667,Rice,6.8,454.0,1.9
61.0,17.0,131.958,Kharif,27.60666666666667,Moong(Green Gram),7.4,465.0,4.5
190.0,233.0,82.75383779197591,Whole Year,28.99662706136262,Dry chillies,6.7,375.0,3.1
3321.0,2094.0,170.968,Kharif,27.93633333333333,Arhar/Tur,6.7,226.0,3.0
3096.0,5395.0,16.54125,Rabi,21.88925,Wheat,5.3,230.0,2.7
1098.0,628.0,120.34966666666668,Kharif,27.28433333333333,Sesamum,6.3,482.0,2.1
62078.0,25030.0,137.2555,Autumn,23.82075,Rice,7.3,430.0,4.1
110.0,18.0,136.8503333333333,Kharif,28.08033333333333,Sesamum,6.2,253.0,5.7
17499.0,15014.0,173.145,Kharif,27.152,Groundnut,7.2,286.0,3.5
21203.0,111874.0,197.5553259341182,Whole Year,29.177775825885853,Maize,6.2,272.0,5.5
39.0,560.0,7.164,Rabi,20.5235,Onion,5.5,274.0,3.6
11598.0,21354.0,113.5023333333333,Kharif,25.72766666666666,Jowar,5.1,339.0,2.9
1278.0,1115.0,79.75666666666667,Kharif,28.10133333333333,Jowar,5.7,300.0,5.0
1703.0,859.0,244.624,Kharif,26.545,Groundnut,6.2,410.0,3.5
2706.0,3345.0,151.60666666666668,Kharif,23.468000000000004,Rice,6.9,490.0,2.9
37489.0,76800.0,82.57925000000002,Rabi,23.89325,Rice,5.2,411.0,2.2
212471.0,267478.0,9.80125,Rabi,20.896,Wheat,6.5,286.0,4.9
1.0,77012.30591908224,71.123,Kharif,28.39166666666667,Groundnut,6.9,365.0,3.2
29532.0,22147.0,87.01693410915466,Whole Year,28.14095897915061,Arhar/Tur,5.9,262.0,3.8
294.0,3550.0,75.91591173964763,Whole Year,28.264597684381428,Onion,6.2,282.0,4.0
11094.0,38458.0,50.7365,Rabi,24.2165,Maize,6.6,268.0,2.3
279.0,137.0,74.03375,Summer,30.5595,Urad,6.0,223.0,1.9
32821.0,71517.0,127.655,Kharif,28.85733333333333,Maize,6.6,356.0,2.3
209.0,184.0,139.372,Kharif,27.675666666666668,Dry chillies,5.8,432.0,5.4
30.0,8.0,78.82424999999998,Rabi,24.49925,Moong(Green Gram),6.7,233.0,3.3
7263.0,18183.0,326.3823333333333,Kharif,24.66666666666667,Groundnut,6.9,361.0,2.1
1.0,3.0,153.357,Kharif,27.594,Maize,6.6,397.0,5.6
213876.0,12863358.0,143.915,Kharif,27.33133333333333,Sugarcane,5.9,389.0,3.1
270.0,117.0,169.84875,Summer,30.83425,Moong(Green Gram),6.7,333.0,2.8
29117.0,25260.0,24.84,Rabi,21.28575,Wheat,5.6,483.0,3.9
961.0,507.0,103.002,Kharif,25.24133333333333,Arhar/Tur,5.8,407.0,2.5
16831.0,7305.0,54.503,Rabi,19.28525,Rapeseed &Mustard,7.4,367.0,2.9
1300.0,1300.0,19.2925,Rabi,24.12125,Rapeseed &Mustard,6.1,306.0,2.2
1869.0,2116.0,285.349,Summer,29.305,Rice,5.7,236.0,1.8
307.0,213.0,43.79475000000001,Rabi,23.83325,Wheat,5.5,474.0,3.8
763.0,197.0,164.99366666666668,Kharif,26.61666666666666,Moong(Green Gram),7.0,441.0,2.6
175.0,638.0,6.303000000000001,Rabi,21.37025,Gram,6.9,486.0,3.6
2539.0,3405.0,15.93475,Rabi,23.628,Wheat,6.6,467.0,2.2
264.0,668.0,298.589,Summer,25.0145,Rice,7.1,472.0,5.1
22.0,37.0,172.19575,Summer,29.35325,Rice,6.2,464.0,3.2
116.0,136.2,219.19525,Summer,26.74875,Maize,5.7,221.0,2.8
54.0,48.0,32.08213390027017,Whole Year,28.05399684001501,Onion,7.2,213.0,3.5
5649.0,6114.0,118.16,Kharif,26.834,Groundnut,6.5,256.0,5.5
21027.0,4000.0,64.742,Kharif,28.48766666666667,Jowar,5.6,232.0,3.2
2341.0,150035.0,89.09598691355455,Whole Year,27.61662746607706,Sugarcane,6.1,369.0,4.8
2226.0,1137.0,97.86863946759256,Whole Year,28.044136574074066,Dry chillies,5.3,309.0,2.8
16.0,11.0,159.49966666666668,Kharif,28.031,Moong(Green Gram),6.9,386.0,2.4
11054.0,12292.0,115.5286666666667,Kharif,27.48933333333333,Groundnut,7.3,260.0,4.0
2140.0,625.0,83.12899999999998,Kharif,29.457,Moong(Green Gram),6.0,359.0,2.0
18878.0,41048.0,90.92566666666666,Kharif,28.12766666666667,Rice,5.4,239.0,2.3
3250.0,4850.0,235.20066666666668,Kharif,23.442,Maize,5.1,477.0,4.7
5000.0,2000.0,82.00399999999998,Kharif,29.139,Sesamum,7.3,371.0,4.4
21.0,6.6,316.223,Summer,29.36525,Urad,6.3,342.0,2.9
2242.0,1903.3,227.3263333333333,Kharif,24.77266666666667,Groundnut,7.4,205.0,4.9
169.0,100.0,145.451,Kharif,28.37166666666667,Sesamum,7.3,321.0,4.8
10000.0,2700.0,3.73675,Rabi,24.992,Jowar,5.3,348.0,3.6
1628.0,1639.0,36.572917248705394,Whole Year,27.54246778847536,Dry chillies,6.4,443.0,5.6
1600.0,600.0,73.582,Kharif,26.90466666666667,Maize,6.3,242.0,4.7
5.0,77012.30591908224,105.1483333333333,Kharif,27.93433333333333,Maize,6.9,437.0,3.0
222720.0,576622.0,129.4916666666667,Kharif,28.29666666666667,Rice,5.9,435.0,4.5
2545.0,1985.0,29.8275,Rabi,20.8355,Rapeseed &Mustard,5.5,425.0,3.3
230.0,1730.0,86.73919907407408,Whole Year,26.41085127314815,Potato,6.0,399.0,2.9
241.0,358.0,104.598,Kharif,25.69400000000001,Rice,5.6,386.0,1.5
2729.0,2076.0,50.75100000000001,Rabi,21.906,Urad,6.5,302.0,3.4
17327.0,21399.0,168.116,Kharif,26.02966666666667,Rice,6.6,301.0,4.4
1662.0,5378.0,69.9215,Autumn,25.3985,Rice,7.3,222.0,4.6
3758.0,4931.0,43.58275,Rabi,21.64675,Wheat,5.2,435.0,5.6
17.0,46.0,15.4995,Rabi,20.92325,Maize,5.2,461.0,3.8
28.0,16.8,220.88,Kharif,28.776,Sesamum,6.1,272.0,1.8
6800.0,6400.0,187.7896666666666,Kharif,28.26766666666667,Arhar/Tur,5.5,445.0,2.7
2126.0,1108.0,120.17433333333332,Kharif,27.36566666666667,Maize,7.1,460.0,4.5
1.0,2.0,199.2746666666667,Kharif,27.99066666666667,Rice,6.7,213.0,5.6
1027.0,29239.0,76.93450012495273,Whole Year,27.88845736038102,Sugarcane,7.2,479.0,3.9
100.0,78.0,243.83033333333336,Kharif,23.64433333333334,Sesamum,7.1,307.0,3.3
2384.0,169960.0,81.96485788001544,Whole Year,28.0276048900463,Sugarcane,5.1,306.0,3.0
224.0,363.0,12.5665,Rabi,21.05175,Maize,6.1,327.0,5.5
2444.0,1599.0,1.929,Rabi,21.55975,Rapeseed &Mustard,6.1,487.0,4.4
26.0,660.0,77.2175,Rabi,25.6795,Onion,5.3,303.0,3.8
1884.0,2431.0,166.1653333333333,Kharif,28.26033333333333,Groundnut,6.5,271.0,2.6
56.0,15.0,70.348,Rabi,21.10675,Moong(Green Gram),7.5,317.0,2.1
2144.0,1018.0,146.07299999999995,Summer,30.17475,Urad,5.9,342.0,1.8
10405.0,8614.0,9.88175,Rabi,19.0535,Rapeseed &Mustard,6.4,212.0,2.5
958.0,1092.0,201.68366666666668,Kharif,28.427,Arhar/Tur,6.5,358.0,2.1
14147.0,20775.33,149.56833333333333,Kharif,24.30666666666667,Rice,7.4,271.0,3.7
1947.89,2280.98,86.14225,Autumn,21.209,Maize,5.8,486.0,2.6
18.0,8.0,31.745,Rabi,11.36025,Gram,6.8,287.0,4.7
2272.0,3791.0,34.7205,Rabi,22.8635,Wheat,5.9,435.0,4.0
203.0,100.0,87.211,Kharif,27.74866666666667,Moong(Green Gram),6.4,491.0,1.2
2000.0,2000.0,210.97925,Summer,27.52,Rice,5.7,340.0,1.3
117089.0,353451.0,8.3435,Rabi,20.4515,Wheat,5.4,487.0,1.8
400.0,100.0,228.38933333333333,Kharif,27.08566666666667,Sesamum,5.2,270.0,3.6
